sentence1,sentence2,label
"In 1962 , Edwin H. <unk> used models of specific dinosaurs , including Corythosaurus , to estimate their weight .","Therefore , more therapy is necessary to eliminate <unk> disease and prevent relapse — that is , to achieve a cure .",1
"Under the <unk> @-@ Transfer @-@ <unk> ( <unk> ) concession agreements that TOT signed with private <unk> operators , the TOT technically owns all fixed @-@ line , mobile , and optical fibre networks in Thailand .","However , it had never exercised those rights in the past .",0
"Under the <unk> @-@ Transfer @-@ <unk> ( <unk> ) concession agreements that TOT signed with private <unk> operators , the TOT technically owns all fixed @-@ line , mobile , and optical fibre networks in Thailand .",<unk> for SR 67 begins at Bright Angel Point along the North Rim of the Grand Canyon National Park .,1
"In 1978 , the University of California , Hastings College of the Law bought the building , the most prominent in the <unk> district , and began two years of refurbishment and redesign .","Calling it "" McAllister Tower "" , <unk> units were modernized for residential use by law students , and the building opened in 1981 with a combination of compact studio units as well as larger <unk> and two @-@ bedroom apartments taking up a total of 17 floors .",0
"In 1978 , the University of California , Hastings College of the Law bought the building , the most prominent in the <unk> district , and began two years of refurbishment and redesign .","Pupils must obtain a minimum score before their application will be considered and places will be awarded based on whether the child is in public care , whether he lives in the catchment area and attends a partnered primary school , and whether they have siblings attending the school or parents working there .",1
"Boise State controlled the time of possession only during the fourth quarter , when the Broncos scored 14 points to tie the game .","Overall , however , Boise State only controlled the ball for 26 minutes and 16 seconds , in comparison to East Carolina 's 33 minutes and 44 seconds .",0
"Boise State controlled the time of possession only during the fourth quarter , when the Broncos scored 14 points to tie the game .",The pair then encounter a Canadian who gives them his <unk> .,1
"It appears that Alkan completed a full translation into French , now lost , of both the Old Testament and the New Testament , from their original languages .","In 1865 , he wrote to Hiller : "" Having translated a good deal of the <unk> , I 'm now onto the second Gospel which I am translating from the Syriac ...",0
"It appears that Alkan completed a full translation into French , now lost , of both the Old Testament and the New Testament , from their original languages .","The level of purification can be monitored using various types of gel electrophoresis if the desired protein 's molecular weight and <unk> point are known , by spectroscopy if the protein has distinguishable spectroscopic features , or by enzyme assays if the protein has enzymatic activity .",1
"The ship was launched on 29 November 1913 , and after lengthy trials , commissioned on 8 August 1915 .","Hindenburg , the final member of the class , was built at the Imperial Dockyard in Wilhelmshaven , under construction number 34 .",0
"The ship was launched on 29 November 1913 , and after lengthy trials , commissioned on 8 August 1915 .","However , the masonry has no characteristics of the Crusader period ; rather , the remains display the Arab architectural style of the post @-@ Crusader period , most likely of the 18th century , <unk> by the dressing of the stones .",1
Perfect Dark was under development for nearly a year and its game engine was completely re @-@ written from scratch to support several Xbox 360 features .,"Therefore , although the game plays exactly the same as the original , the code and renderer is different .",0
Perfect Dark was under development for nearly a year and its game engine was completely re @-@ written from scratch to support several Xbox 360 features .,"Although only one Anderson letter survives , Busch 's letters are in manuscripts .",1
"She released her third solo album Launcher on March 4 , 2015 and her eighth single "" Rally Go Round "" on May 27 , 2015 ; the song is used as the opening theme to the second season of the anime television series <unk> .","She was cast as <unk> Nelson in the Japanese dub of the animated film <unk> , which premiered in Japanese theaters on July 31 , 2015 .",0
"She released her third solo album Launcher on March 4 , 2015 and her eighth single "" Rally Go Round "" on May 27 , 2015 ; the song is used as the opening theme to the second season of the anime television series <unk> .","They were banned in Germany from 1933 , and subsequently in subject countries , by the Nazi regime because the composer was Jewish , and this was a major factor in their further disappearance from the repertory .",1
"In the 1660s , the English largely conquered this land from the Dutch , renaming the area New York after the Duke of York , James II .",The colony 's land was periodically granted to various proprietors and split into the Province of New York and the Province of Pennsylvania .,0
"In the 1660s , the English largely conquered this land from the Dutch , renaming the area New York after the Duke of York , James II .",= = Visual artist = =,1
Lessing was inspired to write The Good Terrorist by the Irish Republican Army ( IRA ) bombing of the <unk> department store in London in 1983 .,"She had been a member of the British Communist Party in the early 1950s , but later grew disillusioned with communism .",0
Lessing was inspired to write The Good Terrorist by the Irish Republican Army ( IRA ) bombing of the <unk> department store in London in 1983 .,"In 2008 , <unk> et al.",1
"To help improve his defense , he spent extra hours studying film of opponents .","On offense , he relied more upon instinct and improvisation at game time .",0
"To help improve his defense , he spent extra hours studying film of opponents .","Berg station was opened on 10 October 1934 , when the <unk> owned company <unk> had completed the Sognsvann Line from <unk> to Sognsvann .",1
"Wales is shown discussing Wikipedia with an Indian reader , who points out an <unk> in an article .","Wales proceeds to show the reader how to click the "" edit "" <unk> on the website .",0
"Wales is shown discussing Wikipedia with an Indian reader , who points out an <unk> in an article .","In earlier episodes , <unk> Smith did many of Maggie 's <unk> , cries , laughs and occasional speaking parts , although in the later seasons her parts are done by Nancy Cartwright ( including a single word spoken during the end credits of The Simpsons Movie ) .",1
"3 , 12 He is a member of the boxing club , and initially hates Kōsaku for earning Hibari 's affection , Ch .","8 but as the series progresses , the two become <unk> 38 Shiina is voiced by <unk> Mori .",0
"3 , 12 He is a member of the boxing club , and initially hates Kōsaku for earning Hibari 's affection , Ch .",Omaha was completely devoid of trails leading up to early 1989 .,1
"@ 82 lb ) weight – was not widely competed until much later , finally featuring on the women 's Olympic programme in 2000 .","The distances thrown by male athletes became greater from the 1950s onwards as a result of improved equipment using the denser metals , a switch to concrete throwing areas , and more advanced training techniques .",0
"@ 82 lb ) weight – was not widely competed until much later , finally featuring on the women 's Olympic programme in 2000 .","Andros , who had fled to the safety of Castle Island , surrendered , and was eventually returned to England after several months in confinement .",1
Some began reporting having expended stocks of critical medical supplies such as antibiotics by 17 January .,"The border was reinforced by Dominican soldiers , and the government of the Dominican Republic asserted that all Haitians who crossed the border for medical assistance would be allowed to stay only temporarily .",0
Some began reporting having expended stocks of critical medical supplies such as antibiotics by 17 January .,"In May , Sir Oswald , who had campaigned for a negotiated peace with Nazi Germany , was interned by the British Authorities under Defence Regulation <unk> , along with most other active fascists in Britain .",1
This caused church officials to close and lock the cathedral for a number of days .,"The cathedral reopened with new security measures , such as bag searches , in place .",0
This caused church officials to close and lock the cathedral for a number of days .,The crew was rescued within a day of sustaining the damage and flown to <unk> .,1
"However , evidence of the battle is often discovered even today , and the bodies of Allied servicemen are <unk> at the Airborne Cemetery .","When found , bodies are exhumed and Dutch Graves <unk> staff attempt to identify them before they are reburied .",0
"However , evidence of the battle is often discovered even today , and the bodies of Allied servicemen are <unk> at the Airborne Cemetery .","The Derfflinger class used a similar propulsion system , and as a result of the increased displacement were slightly slower .",1
"An employee stole £ 2 @,@ 500 from the business and Lawton decided to leave the pub trade after four years .",He then took up a job selling insurance .,0
"An employee stole £ 2 @,@ 500 from the business and Lawton decided to leave the pub trade after four years .","He studied the Chinese classics , drank tea , and played Chinese chess for recreation .",1
Del Toso has played for the Dandenong Rangers in the WNWBL since 2008 .,"In the semifinal between her Dandenong Rangers and the <unk> <unk> in 2009 , she scored 31 points while pulling down 19 rebounds that saw the Rangers win 81 – 42 .",0
Del Toso has played for the Dandenong Rangers in the WNWBL since 2008 .,"Aynesworth was himself "" <unk> and stylish "" , and Alexander , who played Jack Worthing , "" demure "" .",1
"This plan , backed by labor unions and certain Democrats , passed the Agriculture Committee as an amendment to farm legislation .",It mandated a referendum that would then be used to determine what types of production controls to enact .,0
"This plan , backed by labor unions and certain Democrats , passed the Agriculture Committee as an amendment to farm legislation .",In the rear fuselage was a single 52 @-@ imperial @-@ gallon ( 240 l ; 62 US gal ) fuel tank with two 92 @-@ imperial @-@ gallon ( 420 l ; 110 US gal ) fuel tanks in the centre wing section .,1
"Following the Democratic convention , Nixon was consistently labeled the favorite , described as "" relaxed [ and ] confident , "" counter to his "" unsure "" self from 1960 .",Even observers speculated as to the President 's possible favoring Nixon to Humphrey .,0
"Following the Democratic convention , Nixon was consistently labeled the favorite , described as "" relaxed [ and ] confident , "" counter to his "" unsure "" self from 1960 .",Its replacement opened to traffic in November 2011 .,1
It is prescribed as a textbook for students of graduate and post @-@ graduate studies in the Kannada language .,"Although Keshiraja followed the model of Sanskrit grammar ( of the <unk> school ) and that of earlier writings on Kannada grammar ( by King <unk> I of the 9th century and grammarian <unk> II of 1145 ) , his work has originality .",0
It is prescribed as a textbook for students of graduate and post @-@ graduate studies in the Kannada language .,"Unlike other land birds , the kakapo can accumulate large amounts of body fat to store energy , making it the heaviest parrot .",1
"Under the rule of the Lords Baltimore , thousands of British Catholics emigrated to Maryland , establishing some of the oldest Catholic communities in what later became the United States .",However Catholic rule in Maryland was eventually <unk> by the re @-@ assertion of royal control over the colony .,0
"Under the rule of the Lords Baltimore , thousands of British Catholics emigrated to Maryland , establishing some of the oldest Catholic communities in what later became the United States .",@ 55 degrees per second .,1
"The roles of each deity were fluid , and each god could expand its nature to take on new characteristics .","As a result , gods ' roles are difficult to <unk> or define .",0
"The roles of each deity were fluid , and each god could expand its nature to take on new characteristics .",The name references the Spanish translation of Boca Raton .,1
"Writing for The Stage , Mark Wright wrote that "" it ’ s good to see Torchwood can get in touch with its lighter side and not lose any momentum "" concluding "" I think I really might love this show "" .",Jon <unk> of TV <unk> felt the episode to be one of the strongest of the second series .,0
"Writing for The Stage , Mark Wright wrote that "" it ’ s good to see Torchwood can get in touch with its lighter side and not lose any momentum "" concluding "" I think I really might love this show "" .",Mathews retired from the Royal Navy in 1881 and was appointed Brigadier @-@ General of Zanzibar .,1
"He did however , make his comeback at the Monte @-@ Carlo Masters with straight set wins over Guillermo García @-@ López and Roberto <unk> <unk> before losing in the quarterfinals to Jo @-@ Wilfried Tsonga in three sets .",Federer then announced that he would be entering the Madrid Open .,0
"He did however , make his comeback at the Monte @-@ Carlo Masters with straight set wins over Guillermo García @-@ López and Roberto <unk> <unk> before losing in the quarterfinals to Jo @-@ Wilfried Tsonga in three sets .","The movie soundtrack song is widely recognised for its striking opening bars and oriental flavour , and was far more popular on radio .",1
"The Giants responded in the top of the 9th , scoring their only runs of the game .",Kevin <unk> allowed successive singles to Brent Mayne and Mueller to open the inning before Terry <unk> relieved him .,0
"The Giants responded in the top of the 9th , scoring their only runs of the game .",The church 's east window is set in a pointed arch and has three lights ( sections of window separated by <unk> ) .,1
The player 's character begins on a sand dune in a seemingly endless desert .,"In the far distance looms a large , foreboding mountain with a glowing crevice that splits its peak .",0
The player 's character begins on a sand dune in a seemingly endless desert .,"By the time Wuzhu resumed pursuit , the Song court was fleeing on ships to islands off the coast of Zhejiang , and then further south to <unk> .",1
"<unk> 21 of the stories into a series of episodes , each 42 minutes long , with most stories spanning two episodes , The Crab with the Golden Claws was the seventh story produced in the series .","Directed by <unk> <unk> , critics have praised the series for being "" generally faithful "" , with compositions having been actually directly taken from the panels in the original comic book .",0
"<unk> 21 of the stories into a series of episodes , each 42 minutes long , with most stories spanning two episodes , The Crab with the Golden Claws was the seventh story produced in the series .",Wuzhu set out from Jiankang and advanced rapidly to try to capture Gaozong .,1
"Other artists represented in Walpole 's collection were Epstein , Picasso , <unk> , <unk> and <unk> .","After his death the finest works in his collection , other than those bequeathed , were exhibited in London during April and May 1945 ; the exhibition also included works by Constable , Turner and <unk> .",0
"Other artists represented in Walpole 's collection were Epstein , Picasso , <unk> , <unk> and <unk> .","It contains some complications which we must not <unk> over if we are to appreciate the depth and significance of the issues engaged . """,1
These include simple <unk> ( such as <unk> and <unk> ) and <unk> such as morphine .,<unk> may be used in addition to <unk> to help with anxiety .,0
These include simple <unk> ( such as <unk> and <unk> ) and <unk> such as morphine .,= = American frontier = =,1
"Kotaku 's Richard <unk> was highly positive about the game , citing is story as a return to form after Valkyria Chronicles II and its gameplay being the best in the series .","His main criticisms were its length and gameplay repetition , along with expressing regret that it would not be localized .",0
"Kotaku 's Richard <unk> was highly positive about the game , citing is story as a return to form after Valkyria Chronicles II and its gameplay being the best in the series .","Other forces involved in the landing included artillery regiments , signals corps , and engineering units .",1
He was joined by <unk> Villa and Orozco and in April the army began approaching Ciudad Juárez .,"Orozco and Villa led the way with 500 men each , while Madero followed up with 1 @,@ 500 riders .",0
He was joined by <unk> Villa and Orozco and in April the army began approaching Ciudad Juárez .,@ 9 in ) thick and the roof was covered with 50 mm ( 2 @.,1
"When he died in 1993 at the age of 78 , the Daily Telegraph , Guardian and Times all published <unk> .","His letters , diaries , pamphlets and placards were given to the Museum of London ; other artefacts went to the <unk> Park Museum .",0
"When he died in 1993 at the age of 78 , the Daily Telegraph , Guardian and Times all published <unk> .","At the 2002 Cannes Film Festival , Anderson won the Best Director Award and was nominated for the <unk> d 'Or .",1
"Liverpool had finished fifth during the 1980 – 81 Football League , thus they needed to win the final to ensure that they would compete in the European Cup the following season .","Despite this , Liverpool had won the Football League Cup for the first time earlier in the season , defeating West Ham United 2 – 1 in a replay after the final finished 1 – 1 .",0
"Liverpool had finished fifth during the 1980 – 81 Football League , thus they needed to win the final to ensure that they would compete in the European Cup the following season .","It is thus highly unlikely , though not completely impossible , for a nuclear <unk> to occur .",1
"ABC 's fortunes were dramatically altered in February 1953 , when the FCC cleared the way for UPT to buy the network .","The merger provided ABC with a badly needed cash infusion , giving it the resources to mount "" top shelf "" programming and to provide a national television service on a scale approaching that of CBS and NBC .",0
"ABC 's fortunes were dramatically altered in February 1953 , when the FCC cleared the way for UPT to buy the network .",The seat bears the inscription :,1
"In May 1956 , a memorial to Maeda was erected in Hirosaki City , Japan .",The dedication ceremony was attended by <unk> Kano and <unk> <unk> .,0
"In May 1956 , a memorial to Maeda was erected in Hirosaki City , Japan .",He claimed to have learned the term during his initiation into the New Forest coven in 1939 .,1
"His second son Leonard Calvert , ( <unk> @-@ 1647 ) , was the first colonial governor of the Province of Maryland .","Historians have long recognized George Calvert as the founder of Maryland , in spirit if not in fact .",0
"His second son Leonard Calvert , ( <unk> @-@ 1647 ) , was the first colonial governor of the Province of Maryland .",Srihari as Sher Khan and Solomon .,1
"In Super Mario Land , Mario travels to Sarasaland to save Princess Daisy from <unk> , an evil <unk> .","Two of the game 's twelve levels are "" forced @-@ scrolling "" <unk> @-@ style <unk> where Mario <unk> a submarine or airplane and fires projectiles towards oncoming enemies and bosses .",0
"In Super Mario Land , Mario travels to Sarasaland to save Princess Daisy from <unk> , an evil <unk> .","On July 22 before the storm struck , the Philippine military was put on red alert , increasing security at the presidential palace .",1
"The male protagonist is portrayed as a "" perfect boy "" ( played by William <unk> ) having the sensibilities like <unk> , <unk> , <unk> like a friend ( after the lyrics "" You 're my best friend "" ) and not sexual overtones .","The video in @-@ turn contrasts him with a self @-@ centered boy who puts on <unk> , throws his leather jacket over his shoulder and walks away from the girl .",0
"The male protagonist is portrayed as a "" perfect boy "" ( played by William <unk> ) having the sensibilities like <unk> , <unk> , <unk> like a friend ( after the lyrics "" You 're my best friend "" ) and not sexual overtones .","He referred to the character negatively as "" Cordelia Lite "" .",1
"Show runner Manny <unk> summed up these differences saying , "" Our Vulcans lie , our Vulcans are <unk> , our Vulcans are not <unk> . ""","He sought to introduce a situation which he compared to the 16th @-@ century Protestant Reformation and wanted to include a Vulcan character who would effectively be in the role of Martin Luther , while the Vulcan High Command represented the Catholic Church .",0
"Show runner Manny <unk> summed up these differences saying , "" Our Vulcans lie , our Vulcans are <unk> , our Vulcans are not <unk> . ""","And I doubt that even if they knew what the risk was , that an Internal Review Board in any academic institution would consent to that kind of experimental work .",1
"In French cooking , plums are an ingredients in a significant tradition of cake making : "" ... throughout the districts of the Loire , the <unk> , the <unk> and the <unk> , there [ was ] hardly a celebration , a wedding feast or celebration at which the <unk> [ did ] not include some sort of plum or <unk> tart , made with fresh or dried plums or jam according to the season . """,The <unk> plum is a specific <unk> used to make <unk> aux <unk> ( plum tart ) .,0
"In French cooking , plums are an ingredients in a significant tradition of cake making : "" ... throughout the districts of the Loire , the <unk> , the <unk> and the <unk> , there [ was ] hardly a celebration , a wedding feast or celebration at which the <unk> [ did ] not include some sort of plum or <unk> tart , made with fresh or dried plums or jam according to the season . ""","James said he "" put himself in harms way "" to save Nicole .",1
"In 2011 , two giant murals of Evita were unveiled on the building facades of the current Ministry of Social Development , located on 9 de Julio Avenue .",The works were painted by Argentine artist Alejandro <unk> .,0
"In 2011 , two giant murals of Evita were unveiled on the building facades of the current Ministry of Social Development , located on 9 de Julio Avenue .","Europium is associated with the other rare earth elements and is , therefore , mined together with them .",1
"With over 1 @,@ 500 sq mi ( 3 @,@ 900 km2 ) of open water , the six reservoirs of the Missouri River Mainstem System provide some of the main recreational areas within the basin .",<unk> has increased from 10 million visitor @-@ hours in the mid @-@ 1960s to over 60 million visitor @-@ hours in 1990 .,0
"With over 1 @,@ 500 sq mi ( 3 @,@ 900 km2 ) of open water , the six reservoirs of the Missouri River Mainstem System provide some of the main recreational areas within the basin .",@ 2 % of the rare earth element content is europium .,1
Central Area Command was one of several geographically based commands raised by the Royal Australian Air Force ( RAAF ) during World War II .,"It was formed in March 1940 , and covered the central portion of New South Wales .",0
Central Area Command was one of several geographically based commands raised by the Royal Australian Air Force ( RAAF ) during World War II .,Henstridge cameos at the beginning of the film .,1
"In 2008 , AML became the first cancer genome to be fully sequenced .",DNA extracted from leukemic cells were compared to unaffected skin .,0
"In 2008 , AML became the first cancer genome to be fully sequenced .",Thus after 243 years the transits of Venus returns .,1
"A graph that has a topological ordering cannot have any cycles , because the edge into the earliest vertex of a cycle would have to be oriented the wrong way .","Therefore , every graph with a topological ordering is acyclic .",0
"A graph that has a topological ordering cannot have any cycles , because the edge into the earliest vertex of a cycle would have to be oriented the wrong way .","The two set out along the Missouri , and established Fort Charles about 20 miles ( 32 km ) south of present @-@ day Sioux City as a winter camp in 1795 .",1
"During that time , Ulster ( 1999 ) , Munster ( 2006 and 2008 ) and Leinster ( 2009 , 2011 and 2012 ) have won the <unk> Cup .","In addition to this , the Irish International side has had increased success in the Six Nations Championship against the other European elite sides .",0
"During that time , Ulster ( 1999 ) , Munster ( 2006 and 2008 ) and Leinster ( 2009 , 2011 and 2012 ) have won the <unk> Cup .","On the other hand , the many @-@ sided approach was claimed by the Jains to be immune from criticism since it did not present itself as a philosophical or <unk> view .",1
This included seven different engineering battalions as well as several separate group and company sized elements .,"Units of the brigade were then deployed to Kuwait in early 2003 , along with much of V Corps ' staff .",0
This included seven different engineering battalions as well as several separate group and company sized elements .,Their other children included the astronomer Wilhelm Beer and the poet Michael Beer .,1
"According to some scholars , the Mandan / Hidatsa village of Like @-@ a @-@ Fishhook in what is now North Dakota , with a population of 700 , was the largest settlement in the Minnesota Territory .","The numerous other settlements in the territory gave a total Native American population of over 25 @,@ 000 in 1849 which easily outnumbered the <unk> "" white "" settlers .",0
"According to some scholars , the Mandan / Hidatsa village of Like @-@ a @-@ Fishhook in what is now North Dakota , with a population of 700 , was the largest settlement in the Minnesota Territory .","By the time of Bishop Bur 's episcopate ( <unk> – <unk> ) , the cathedral had 15 canons ( excluding dignitaries ) , 22 vicars @-@ choral and about the same number of chaplains .",1
This was due to historical claims on land .,This area no longer belongs to Romania .,0
This was due to historical claims on land .,There is generally no associated smell other than a mild <unk> .,1
"In regards to the musical selection , MacDonald concluded that half the songs are "" eminently forgettable "" , a view echoed by Winnipeg Sun columnist Rob Williams , who described some of the album tracks as "" <unk> "" .","Despite these objections , Williams issued her <unk> Center performance a three @-@ and @-@ a @-@ half out of five stars . """,0
"In regards to the musical selection , MacDonald concluded that half the songs are "" eminently forgettable "" , a view echoed by Winnipeg Sun columnist Rob Williams , who described some of the album tracks as "" <unk> "" .","On the January 2 , 2006 episode of Raw Helms confronted Jerry Lawler over jokes that Lawler had been making at Helms ' expense , and Lawler said that when Helms was The Hurricane , he was entertaining and called Helms a joke .",1
"Not Quite Hollywood documents the revival of Australian cinema during the Australian New Wave of the 1970s and ' 80s through B @-@ movies including Alvin Purple , Barry <unk> <unk> His Own , Dead @-@ End Drive In , Long Weekend , Mad Max , The Man from Hong Kong , Patrick , Razorback , Road Games , <unk> and Turkey Shoot .","From 1971 through to the late 1980s , Australian directors began to take advantage of the newly introduced R @-@ rating which allowed more on @-@ screen nudity , sex and violence for audiences restricted to age 18 and over . """,0
"Not Quite Hollywood documents the revival of Australian cinema during the Australian New Wave of the 1970s and ' 80s through B @-@ movies including Alvin Purple , Barry <unk> <unk> His Own , Dead @-@ End Drive In , Long Weekend , Mad Max , The Man from Hong Kong , Patrick , Razorback , Road Games , <unk> and Turkey Shoot .",Major government buildings are often adorned with strings of lights .,1
"During the production of Usher 's fourth studio album , Confessions , they thought of various female singers to pair him with on the song .",Usher and <unk> <unk> <unk> 's rare demo version can be found floating on the Internet .,0
"During the production of Usher 's fourth studio album , Confessions , they thought of various female singers to pair him with on the song .","Bishop Bricius 's chapter of eight clerics consisted of the dean , precentor , treasurer , chancellor , archdeacon and three ordinary canons .",1
"In his Major League Baseball debut on May 12 , he pitched five scoreless innings , allowing one hit , striking out seven batters , walked five , while earning a no @-@ decision against the Cincinnati Reds .","In his second career start , Hamels was dominant until the seventh inning , during which he was pulled after he allowed several baserunners , but again received a no @-@ decision .",0
"In his Major League Baseball debut on May 12 , he pitched five scoreless innings , allowing one hit , striking out seven batters , walked five , while earning a no @-@ decision against the Cincinnati Reds .","Almost immediately after , the train goes through a zero @-@ gravity roll followed by a downward left helix .",1
"Its current prominence in Tennyson 's <unk> is the result of two trends , according to Tennyson scholar Matthew Rowlinson : the rise of formal English poetry studies in the late nineteenth century , and the Victorian effort to articulate a British culture that could be exported .","He argues that "" Ulysses "" forms part of the prehistory of imperialism — a term that only appeared in the language in 1851 .",0
"Its current prominence in Tennyson 's <unk> is the result of two trends , according to Tennyson scholar Matthew Rowlinson : the rise of formal English poetry studies in the late nineteenth century , and the Victorian effort to articulate a British culture that could be exported .",Until the 1850s the Native American population vastly outnumbered the population of European ancestry in the area .,1
"The Ministry of External Relations and the Ministry of Labor guaranteed the entry , exit and working arrangements for Games personnel .","People in possession of a valid passport and an Olympic or Paralympic Identity and <unk> Card , in lieu of a <unk> , will be able to enter the Brazilian territory .",0
"The Ministry of External Relations and the Ministry of Labor guaranteed the entry , exit and working arrangements for Games personnel .","The median income counting all persons 15 years old or older in Sarnia in 2010 was $ 29 @,@ 196 , while median family income was $ 76 @,@ 523 , both of which were slightly lower than Ontario 's , at $ 30 @,@ 526 and $ 80 @,@ <unk> , respectively .",1
"The authors present a list of drivers for clean tech : "" high energy prices , depleted natural resources , volatile sources of foreign oil , record deficits , and unprecedented environmental and security challenges "" .","The central message , which is repeated in almost every chapter , is that a clean tech revolution with benefit humanity worldwide , and will require significant collaboration between the public and private sectors .",0
"The authors present a list of drivers for clean tech : "" high energy prices , depleted natural resources , volatile sources of foreign oil , record deficits , and unprecedented environmental and security challenges "" .","A 0 – 0 draw away to Fleetwood in the second leg meant York were eliminated 1 – 0 on aggregate , ending the prospect of a second promotion in three seasons .",1
The two ships were protected by iron belt armor that was 8 @.,@ 7 in ( 221 mm ) thick and extended for the entire length of the hull .,0
